204,0,1,1,1,1,0
206,1,1,1,1,1,0
207,0,0,1,1,0,0
208,0,0,0,0,1,0
210,1,0,0,0,0,-1
211,1,0,0,0,0,-1
212,1,1,1,1,1,0
213,1,0,1,1,0,-1
214,1,0,0,0,0,-1
215,0,0,1,0,1,0
216,1,1,0,1,1,0
219,1,1,1,1,1,0
220,1,1,0,1,1,0
221,1,0,1,0,0,-1
222,1,1,1,0,0,-1
223,1,0,1,1,1,0
224,0,0,1,0,1,0
225,1,1,0,1,1,0
228,1,0,1,1,1,0
229,1,0,0,0,0,-1
231,0,0,0,1,0,0
232,1,1,1,1,1,0
234,0,0,1,0,0,0
235,1,1,1,1,1,0
236,1,1,1,1,1,0
237,1,1,1,1,1,0
239,1,0,0,0,1,0
240,1,1,0,0,0,-1
244,1,0,1,0,1,0
248,1,1,1,1,0,-1
249,0,1,1,1,0,0
250,1,0,1,1,1,0
251,0,1,0,1,1,0
252,1,1,1,1,1,0
253,1,1,1,1,1,0
256,1,1,1,1,1,0
258,1,1,1,1,1,0
259,1,1,1,1,1,0
278,1,1,1,1,1,0
279,1,0,1,1,1,0
282,1,1,1,1,1,0
287,1,1,1,1,1,0
288,1,1,1,1,1,0
297,1,1,1,1,1,0
298,1,1,1,1,1,0
312,1,1,1,1,1,0
313,1,1,1,1,1,0
314,1,1,1,1,1,0
315,1,1,1,1,1,0
316,1,1,1,1,1,0
317,0,1,1,1,1,0
318,1,1,1,1,1,0
319,1,1,1,1,1,0
320,1,1,1,1,1,0
321,1,1,1,1,1,0
327,1,1,1,1,1,0
329,1,1,1,1,1,0
332,1,1,1,1,1,0
334,1,1,1,1,1,0
336,1,1,1,1,1,0
338,1,1,1,1,1,0
339,1,1,1,1,1,0
344,1,1,1,1,1,0
420,1,1,1,1,1,0
421,1,1,1,1,1,0
422,1,1,1,1,1,0
423,1,1,1,1,1,0
425,1,1,1,1,1,0
426,1,1,1,1,1,0
427,0,1,0,0,1,0
428,1,1,1,1,1,0
429,1,1,1,1,1,0
431,1,1,1,1,1,0
432,1,1,1,1,1,0
433,1,1,1,1,1,0
434,1,1,1,1,1,0
437,1,1,1,1,1,0
438,1,1,1,1,1,0
439,1,1,1,1,1,0
440,1,1,1,1,1,0
441,1,1,1,1,1,0
442,1,1,1,1,1,0
443,1,1,1,1,1,0
444,1,1,1,1,1,0
445,1,1,1,1,1,0
446,1,1,1,1,1,0
447,1,1,1,1,1,0
448,1,1,1,1,1,0
449,1,1,1,1,1,0
450,1,1,1,1,1,0
451,1,1,1,1,1,0
452,1,1,1,1,1,0
453,1,1,1,1,1,0
455,1,1,1,1,1,0
459,1,1,1,1,1,0
460,1,1,1,1,1,0
461,1,1,1,1,1,0
462,1,0,0,0,0,-1
463,1,1,1,1,1,0
464,1,1,1,1,1,0
465,1,1,1,1,1,0
466,1,1,1,1,1,0
467,1,1,1,1,1,0
468,1,1,1,1,1,0
469,0,1,0,1,1,0
470,1,1,1,1,1,0
471,1,1,1,1,1,0
472,1,1,1,1,1,0
473,1,1,1,1,1,0
474,1,1,1,1,1,0
475,1,1,1,1,1,0
476,1,1,1,1,1,0
477,1,1,1,1,1,0
478,1,1,1,1,1,0
479,1,1,1,1,1,0
480,1,1,1,1,1,0
481,1,1,1,1,1,0
482,1,1,1,1,1,0
483,1,1,1,1,1,0
484,1,1,1,1,1,0
485,1,1,1,1,1,0
486,1,1,1,1,1,0
487,1,1,1,1,1,0
488,1,1,0,1,0,-1
489,1,1,1,1,0,-1
490,1,1,1,1,1,0
491,1,1,1,1,1,0
492,1,1,1,1,1,0
493,1,1,1,1,1,0
494,1,1,1,1,1,0
495,0,1,1,1,1,0
496,1,1,1,1,1,0
497,1,1,1,1,1,0
499,1,1,1,1,1,0
500,1,1,1,1,1,0
502,1,1,1,1,1,0
503,1,1,1,1,1,0
504,1,1,1,1,1,0
505,1,1,1,1,1,0
506,1,1,1,1,1,0
507,1,1,1,1,1,0
508,1,1,1,1,1,0
509,1,1,1,1,1,0
511,1,1,1,1,1,0
512,1,1,1,1,1,0
513,1,1,1,1,1,0
515,1,1,1,1,1,0
516,1,1,1,1,1,0
517,1,1,1,1,1,0
518,1,1,1,1,1,0
519,1,1,1,1,1,0
521,1,1,1,1,1,0
522,1,1,1,1,1,0
523,1,1,1,1,1,0
524,1,1,1,1,1,0
525,1,1,1,1,1,0
526,1,1,1,1,1,0
527,1,1,1,1,1,0
528,1,1,1,1,1,0
529,1,1,1,1,1,0
530,1,1,1,1,1,0
531,1,1,1,1,1,0
532,1,1,1,1,1,0
533,1,1,1,1,1,0
534,1,1,1,1,1,0
535,1,1,1,1,1,0
536,1,1,1,1,1,0
537,1,1,1,1,1,0
538,1,1,1,1,1,0
539,1,1,1,1,1,0
540,1,1,1,1,1,0
542,1,1,1,1,1,0
544,1,1,1,1,1,0
545,1,1,1,1,1,0
547,1,1,1,1,1,0
548,1,1,1,1,1,0
549,1,1,1,1,1,0
550,1,1,1,1,1,0
551,1,1,1,1,1,0
552,1,1,1,1,1,0
554,1,1,1,1,1,0
555,1,1,1,1,1,0
556,1,1,1,1,1,0
557,1,1,1,1,1,0
558,1,1,1,1,1,0
559,1,1,1,1,1,0
576,1,1,1,1,1,0
577,1,1,1,1,1,0
578,1,1,1,1,1,0
580,1,0,0,0,0,-1
581,1,1,1,1,1,0
582,1,1,1,1,1,0
583,1,0,1,1,0,-1
586,1,0,1,0,0,-1
587,1,0,0,1,0,-1
588,1,1,1,1,1,0
589,1,1,1,1,1,0
590,1,1,1,1,1,0
591,1,1,1,1,1,0
592,1,1,1,1,1,0
594,1,1,1,1,1,0
595,1,1,1,1,1,0
596,1,1,1,1,1,0
597,1,1,1,1,1,0
598,1,1,1,1,1,0
599,1,1,1,1,1,0
600,1,1,1,1,1,0
601,1,1,1,1,1,0
602,1,1,1,1,1,0
605,1,1,1,1,1,0
607,1,1,1,1,1,0
608,1,1,1,1,1,0
609,1,1,1,1,1,0
611,1,1,1,1,1,0
612,1,1,1,1,1,0
613,1,1,1,1,1,0
614,1,1,1,1,1,0
615,1,1,1,1,1,0
616,1,1,1,1,1,0
617,1,1,1,1,1,0
618,1,1,1,1,1,0
619,1,1,1,1,1,0
620,1,1,1,1,1,0
621,1,1,1,1,1,0
622,1,1,1,1,1,0
623,1,1,1,1,1,0
624,1,1,1,1,1,0
625,1,1,1,1,1,0
627,1,1,1,1,1,0
628,1,1,1,1,1,0
629,1,1,1,1,1,0
630,1,1,1,1,1,0
631,1,1,1,1,1,0
632,1,1,1,1,1,0
642,1,1,1,1,1,0
643,1,1,1,1,1,0
644,1,1,1,1,1,0
645,1,1,1,1,1,0
646,1,1,1,1,1,0
647,1,1,1,1,1,0
648,1,1,1,1,1,0
649,1,1,1,1,1,0
650,1,1,1,1,1,0
653,0,1,1,1,1,0
655,1,1,1,1,1,0
656,1,1,0,0,0,-1
657,1,1,1,1,1,0
660,1,1,1,1,1,0
661,1,1,1,1,1,0
662,1,1,1,1,1,0
663,1,1,1,1,1,0
664,1,1,1,1,1,0
665,1,1,1,1,1,0
667,1,1,1,1,1,0
668,1,1,1,1,1,0
669,1,1,1,1,1,0
670,1,1,1,1,1,0
671,1,1,1,1,1,0
672,1,1,1,1,1,0
673,1,1,1,1,1,0
675,1,1,1,1,1,0
676,1,1,1,1,1,0
678,1,1,1,1,1,0
679,1,1,1,1,1,0
681,1,1,1,1,1,0
682,1,1,1,1,1,0
683,1,1,1,1,1,0
684,1,1,1,1,1,0
685,1,1,1,1,0,-1
687,1,1,1,1,1,0
689,1,1,1,1,1,0
690,1,1,1,1,1,0
692,1,1,1,1,1,0
693,1,0,1,0,0,-1
694,1,1,1,1,1,0
696,1,1,1,1,1,0
697,1,1,1,1,1,0
698,1,1,1,1,1,0
699,1,1,1,1,1,0
700,1,1,1,1,1,0
702,1,1,1,1,1,0
704,1,1,1,1,1,0
705,1,1,1,1,1,0
706,1,1,1,1,1,0
708,1,1,1,1,1,0
709,0,1,0,0,0,0
710,1,1,1,1,1,0
711,1,1,1,1,1,0
714,1,1,1,1,1,0
716,1,1,1,1,1,0
717,1,1,1,1,1,0
718,1,1,1,1,1,0
719,1,1,1,1,1,0
720,1,1,1,1,1,0
721,1,1,1,1,1,0
722,1,1,1,1,1,0
724,1,1,1,1,1,0
726,1,1,1,1,1,0
727,1,1,1,1,1,0
728,1,1,1,1,1,0
729,1,1,1,1,1,0
730,1,1,1,1,1,0
732,1,1,1,1,1,0
733,1,1,1,1,1,0
737,1,1,1,1,1,0
738,1,1,1,1,1,0
739,0,1,1,1,1,0
740,1,1,1,1,1,0
741,1,1,1,1,1,0
742,1,1,1,1,1,0
743,1,1,1,1,1,0
744,1,1,1,1,1,0
745,1,1,1,1,1,0
746,1,1,1,1,1,0
747,1,1,1,1,1,0
748,1,1,1,1,1,0
749,1,1,1,1,1,0
750,1,1,1,1,1,0
751,0,1,1,0,1,0
752,1,1,1,1,1,0
753,1,1,1,1,1,0
754,1,1,1,1,1,0
755,1,1,1,1,1,0
758,1,1,1,1,1,0
759,1,1,1,1,1,0
760,1,1,1,1,1,0
762,1,1,1,1,1,0
768,1,1,1,1,1,0
769,1,1,1,1,1,0
770,1,1,1,1,1,0
772,1,1,1,1,1,0
773,1,1,1,1,1,0
775,1,1,1,1,1,0
776,1,1,1,1,1,0
777,1,1,1,1,1,0
778,1,1,0,1,1,0
779,1,1,0,0,1,0
780,1,1,0,0,1,0
781,1,1,0,1,1,0
782,1,1,1,1,1,0
783,1,1,1,1,1,0
784,1,1,1,1,1,0
785,1,1,1,1,1,0
786,1,1,1,1,1,0
787,1,0,1,1,1,0
788,1,1,1,1,1,0
789,0,1,1,1,0,0
790,1,1,1,1,0,-1
792,1,1,1,1,1,0
793,1,1,1,1,1,0
794,1,1,1,1,1,0
795,1,1,1,1,1,0
796,1,1,1,1,1,0
798,1,1,1,1,1,0
801,1,1,1,1,1,0
802,1,1,1,1,1,0
803,1,1,1,1,1,0
805,1,1,1,1,1,0
806,1,1,1,1,1,0
807,1,1,1,1,1,0
810,1,1,1,1,1,0
812,1,1,1,1,1,0
814,1,1,1,1,1,0
815,0,0,1,1,0,0
817,1,1,1,1,1,0
818,1,1,1,1,1,0
819,0,1,1,1,0,0
820,1,1,1,1,1,0
821,1,1,1,1,1,0
822,1,1,1,1,1,0
823,1,1,1,1,1,0
824,1,1,1,1,1,0
825,1,1,1,1,1,0
826,1,1,1,0,0,-1
827,1,1,1,1,1,0
828,1,1,1,1,1,0
829,1,1,1,1,1,0
839,1,1,1,1,1,0
840,1,1,1,1,1,0
841,1,1,1,1,1,0
842,1,1,1,1,1,0
843,1,1,1,1,1,0
844,1,1,1,1,1,0
845,1,1,1,1,1,0
846,1,1,1,1,1,0
847,1,1,1,1,1,0
849,1,1,1,0,1,0
850,1,1,1,1,1,0
851,1,1,1,1,1,0
852,1,1,1,1,1,0
854,0,1,0,1,1,0
855,1,1,1,1,1,0
856,1,1,1,1,1,0
857,1,1,1,1,1,0
858,1,1,1,1,1,0
860,1,1,1,1,1,0
861,1,1,1,1,1,0
862,1,1,1,1,1,0
863,1,1,1,1,1,0
864,1,1,1,1,1,0
865,1,1,1,1,1,0
866,0,0,1,0,1,0
867,1,1,1,1,1,0
868,1,1,1,1,1,0
869,0,1,1,1,0,0
870,1,1,0,1,1,0
872,1,1,1,1,1,0
873,1,1,1,1,1,0
874,1,1,1,1,1,0
875,1,1,1,1,1,0
876,1,1,1,1,1,0
878,0,0,1,0,0,0
879,0,1,1,1,1,0
880,0,1,1,1,1,0
881,1,1,1,1,1,0
882,1,1,1,1,1,0
883,1,1,1,1,1,0
884,1,1,1,1,0,-1
885,1,1,1,1,1,0
886,1,0,1,0,1,0
887,1,1,1,1,1,0
888,1,1,1,1,1,0
889,1,1,1,1,1,0
890,1,1,1,1,1,0
891,1,1,1,1,1,0
892,1,1,1,1,1,0
893,1,1,1,1,1,0
894,1,1,1,1,1,0
895,1,1,1,1,1,0
896,1,1,1,1,1,0
897,1,1,1,1,1,0
898,1,1,1,1,1,0
899,1,1,1,1,1,0
900,1,1,1,1,1,0
901,1,1,1,1,1,0
902,1,1,1,1,1,0
903,1,1,1,1,1,0
904,1,1,1,1,1,0
905,0,1,1,1,1,0
909,1,0,0,1,1,0
934,1,1,1,1,1,0
936,1,1,1,1,1,0
937,1,1,1,1,1,0
938,1,1,1,1,1,0
939,1,1,1,1,1,0
940,1,1,1,1,1,0
941,1,1,1,1,1,0
942,1,1,1,1,1,0
943,1,1,1,1,1,0
944,1,1,1,1,1,0
945,1,1,1,1,1,0
947,0,0,0,1,0,0
948,1,1,1,1,1,0
949,1,1,1,1,1,0
950,1,1,1,1,1,0
951,1,1,1,1,1,0
953,1,1,1,1,1,0
954,1,1,1,1,1,0
955,1,1,1,1,1,0
956,1,1,1,1,1,0
957,1,1,1,1,1,0
958,1,1,1,1,1,0
959,1,1,1,1,1,0
962,1,1,1,1,1,0
963,1,1,1,1,1,0
964,1,1,1,1,1,0
965,1,1,1,1,1,0
966,1,1,1,1,1,0
969,1,1,1,1,1,0
970,1,1,1,1,1,0
971,1,1,1,1,1,0
973,1,1,1,1,1,0
976,1,1,1,1,1,0
977,1,1,1,1,1,0
978,1,1,1,1,1,0
979,1,1,1,1,1,0
980,1,1,1,1,1,0
981,1,1,1,1,1,0
983,1,1,1,1,1,0
984,1,1,1,1,1,0
985,1,1,1,1,1,0
986,1,1,1,1,1,0
987,1,1,1,1,1,0
988,1,1,1,1,1,0
989,1,1,1,1,1,0
990,1,1,1,1,1,0
991,1,1,1,1,1,0
992,1,1,1,1,1,0
994,1,1,1,1,1,0
995,1,1,1,1,1,0
997,1,1,1,1,1,0
998,1,1,1,1,1,0
999,1,1,1,1,1,0
1001,1,1,1,1,1,0
1002,1,1,1,1,1,0
1003,1,1,1,1,1,0
1004,1,1,1,1,1,0
1005,1,1,1,1,1,0
1007,1,1,1,1,1,0
1008,1,1,1,1,1,0
1011,1,1,1,1,1,0
1013,1,1,1,1,1,0
1014,1,1,1,1,1,0
1015,1,1,1,1,1,0
1016,1,1,1,1,1,0
1017,1,1,1,1,1,0
1018,1,1,1,1,1,0
1019,1,1,1,1,1,0
1020,1,1,1,1,1,0
1021,1,1,1,1,1,0
1022,1,1,1,1,1,0
1023,1,1,1,1,1,0
1024,1,1,1,1,1,0
1025,1,1,1,1,1,0
1026,1,1,1,1,1,0
1027,1,1,1,1,1,0
1028,1,1,1,1,1,0
1029,1,1,1,1,1,0
1030,1,1,1,1,1,0
1031,1,1,1,1,1,0
1032,1,1,1,1,1,0
1033,1,1,1,1,1,0
1034,1,1,1,1,1,0
1035,1,1,1,1,1,0
1036,1,1,1,1,1,0
1037,1,1,1,1,1,0
1040,1,1,1,1,1,0
1041,1,1,1,1,1,0
1042,1,1,1,1,1,0
1043,1,1,1,1,1,0
1045,1,1,1,1,1,0
1047,1,0,1,1,1,0
1048,0,0,0,0,1,0
1050,1,1,1,1,1,0
1051,1,1,1,1,1,0
1052,1,1,1,1,1,0
1053,1,1,1,1,1,0
1054,1,1,1,1,1,0
1055,1,1,1,1,1,0
1056,1,1,1,1,1,0
1057,1,1,1,1,1,0
1058,1,1,1,1,1,0
1059,1,1,1,1,1,0
1060,1,1,1,1,1,0
1061,1,1,1,1,1,0
1062,1,1,1,1,1,0
1063,1,1,1,1,1,0
1064,1,1,1,0,1,0
1065,1,1,1,1,1,0
1066,1,1,1,1,1,0
1067,1,1,1,1,1,0
1068,1,1,1,1,1,0
1069,1,1,1,1,1,0
1070,1,1,1,1,1,0
1071,1,1,1,1,1,0
1072,1,1,1,1,1,0
1073,1,1,1,1,1,0
1074,1,1,1,1,1,0
1076,1,1,1,1,1,0
1077,1,1,1,1,1,0
1078,1,1,1,1,1,0
1079,1,1,1,1,1,0
1080,1,1,1,1,1,0
1081,1,1,1,1,1,0
1084,1,0,1,1,1,0
1085,1,1,1,1,1,0
1086,1,1,1,1,1,0
1087,1,1,1,1,1,0
1088,1,1,1,1,1,0
1089,1,1,1,1,1,0
1090,1,1,1,1,1,0
1091,1,1,1,1,1,0
1092,1,1,1,1,1,0
1093,1,1,1,1,1,0
1094,0,1,1,0,1,0
1095,1,1,1,1,1,0
1096,1,1,1,1,1,0
1097,1,1,1,1,1,0
1098,1,1,1,1,1,0
1099,1,1,1,1,1,0
1100,1,1,1,1,1,0
1101,1,1,1,1,1,0
1102,1,1,1,1,1,0
1103,1,1,1,1,1,0
1104,1,1,1,1,1,0
1105,1,1,1,1,1,0
1106,1,1,1,1,1,0
1107,1,1,1,1,1,0
1108,1,1,1,1,1,0
1109,1,1,1,1,1,0
1110,1,1,1,1,1,0
1111,1,1,1,1,1,0
1112,1,1,1,1,1,0
1113,1,1,1,1,1,0
1114,1,1,1,1,1,0
1115,1,1,1,1,1,0
1116,1,1,1,1,1,0
1117,1,1,1,1,1,0
1118,1,1,1,1,1,0
1119,1,1,1,1,1,0
1120,1,1,1,1,1,0
1121,1,1,1,1,1,0
1122,1,1,1,1,1,0
1124,1,1,1,1,1,0
1125,1,1,1,1,1,0
1126,1,1,1,1,1,0
1127,1,1,1,1,1,0
1128,1,1,1,1,1,0
1129,1,1,1,1,1,0
1130,1,1,1,1,1,0
1131,1,1,1,1,1,0
1132,1,1,1,1,1,0
1133,1,1,1,1,1,0
1134,1,1,1,1,1,0
1135,1,1,1,1,1,0
1136,1,1,1,1,1,0
1137,1,1,1,1,1,0
1138,1,1,1,1,1,0
1139,1,1,1,1,1,0
1140,1,1,1,1,1,0
1141,1,1,1,1,1,0
1142,1,1,1,1,1,0
1143,1,1,1,1,1,0
1144,1,1,1,1,1,0
1145,1,1,1,1,1,0
1146,1,1,1,1,1,0
1148,1,1,1,1,1,0
1149,1,1,1,1,1,0
1150,0,1,0,1,0,0
1151,1,1,1,1,1,0
1152,1,1,1,1,1,0
1153,1,1,1,1,1,0
1154,1,1,1,1,1,0
1155,1,1,1,1,1,0
1156,1,0,1,1,1,0
1157,1,1,1,1,1,0
1158,1,1,1,1,1,0
1159,1,1,1,1,1,0
1162,1,1,1,1,1,0
1163,1,1,0,1,0,-1
1166,1,1,1,1,1,0
1167,1,1,1,1,1,0
1168,1,1,1,1,1,0
1169,1,1,1,1,1,0
1182,1,1,1,1,1,0
1184,1,1,1,1,1,0
1185,1,1,1,1,1,0
1200,1,1,1,1,1,0
1201,1,1,1,1,1,0
1202,1,1,1,1,1,0
1203,1,1,1,1,1,0
1204,1,1,1,1,1,0
1205,1,1,1,1,1,0
1207,1,1,1,1,1,0
1208,1,1,1,1,1,0
1209,1,1,1,1,1,0
1210,1,1,1,1,1,0
1211,1,1,1,1,1,0
1212,1,1,1,1,1,0
1214,1,1,1,1,1,0
1215,1,1,1,1,1,0
1216,1,1,1,1,1,0
1217,1,1,1,1,1,0
1218,1,1,1,1,1,0
1219,1,1,1,1,1,0
1220,1,1,1,1,1,0
1221,1,1,1,1,1,0
1223,1,1,0,1,0,-1
1224,1,1,1,1,1,0
1225,1,1,1,1,1,0
1226,1,1,1,1,1,0
1227,1,1,1,1,1,0
1229,1,1,1,1,1,0
1230,1,1,1,1,1,0
1231,1,1,1,1,1,0
1232,1,1,1,1,1,0
1234,1,1,1,1,1,0
1235,1,1,1,1,1,0
1236,1,1,1,1,1,0
1237,1,1,1,1,1,0
1238,1,1,1,1,1,0
1239,1,1,1,1,1,0
1240,1,1,1,1,1,0
1241,1,1,1,1,1,0
1242,1,1,1,1,1,0
1244,0,1,1,1,1,0
1245,1,0,1,1,1,0
1246,0,0,1,1,0,0
1249,1,1,1,1,1,0
1250,1,1,1,1,1,0
1253,1,1,0,1,1,0
1254,1,1,1,1,1,0
1255,1,1,1,1,1,0
1256,1,1,1,1,1,0
1257,1,1,1,1,1,0
1258,1,1,1,1,1,0
1259,1,1,1,1,1,0
1261,1,0,1,1,0,-1
1262,1,1,1,1,1,0
1263,1,1,1,1,1,0
1264,1,1,1,1,1,0
1266,1,1,1,1,1,0
1267,1,1,1,1,1,0
1268,1,1,1,1,1,0
1269,1,1,1,1,1,0
1270,1,1,1,1,1,0
1271,1,1,1,1,1,0
1272,1,1,1,1,1,0
1273,1,1,1,1,1,0
1274,1,1,1,1,1,0
1277,1,1,1,1,1,0
1278,1,1,1,1,1,0
1279,1,1,1,1,1,0
1280,1,1,1,1,1,0
1281,1,1,1,1,1,0
1282,1,1,1,1,1,0
1284,1,1,1,1,1,0
1285,1,1,1,1,1,0
1286,1,1,1,1,1,0
1287,1,1,1,1,1,0
1288,1,1,1,1,1,0
1289,1,1,1,1,1,0
1290,1,1,1,1,1,0
1291,1,1,1,1,1,0
1292,1,1,1,1,1,0
1293,1,1,1,1,1,0
1294,1,1,1,1,1,0
1295,1,1,1,1,1,0
1296,1,1,1,1,1,0
1297,1,0,1,1,1,0
1298,1,1,1,1,1,0
1299,1,1,1,1,1,0
1300,1,1,1,1,1,0
1301,1,1,1,1,1,0
1302,1,1,1,1,1,0
1304,1,1,1,1,1,0
1305,1,1,1,1,1,0
1306,1,1,1,1,1,0
1307,1,1,1,1,1,0
1308,1,1,1,1,1,0
1309,1,1,1,1,1,0
1311,1,1,1,1,1,0
1312,1,1,0,1,1,0
1315,1,1,1,1,1,0
1316,1,1,1,1,1,0
1318,1,1,1,1,1,0
1321,1,1,1,1,1,0
1323,1,1,1,1,1,0
1324,1,1,1,1,1,0
1325,1,1,1,1,1,0
1327,1,1,1,1,1,0
1328,1,1,1,1,1,0
1329,1,1,1,1,1,0
1330,1,1,1,1,1,0
1331,1,1,1,1,1,0
1333,1,1,1,1,1,0
1334,1,1,1,1,1,0
1335,1,1,1,1,1,0
1336,1,1,1,1,1,0
1337,1,1,1,1,1,0
1338,1,1,1,1,1,0
1339,1,1,1,1,1,0
1340,1,1,1,1,1,0
1341,1,1,1,1,1,0
1343,1,1,1,1,1,0
1344,1,1,1,1,1,0
1345,1,1,1,1,1,0
1346,1,1,1,1,1,0
1347,1,1,1,1,1,0
1348,1,1,1,1,1,0
1349,1,1,1,1,1,0
1350,1,1,1,1,1,0
1351,1,1,1,1,1,0
1353,1,1,1,1,1,0
1354,1,1,1,1,1,0
1355,1,1,1,1,1,0
1356,1,1,1,1,1,0
1357,1,1,1,1,1,0
1358,1,1,1,1,1,0
1359,1,1,1,1,1,0
1360,1,1,1,1,1,0
1365,1,1,1,1,1,0
1366,1,1,1,1,1,0
1367,1,1,1,1,1,0
1368,1,1,1,1,1,0
1369,1,1,1,1,1,0
1370,1,1,1,1,1,0
1371,1,1,1,1,1,0
1372,1,1,1,1,1,0
1373,1,1,1,1,1,0
1374,1,1,1,1,1,0
1375,1,1,1,1,1,0
1377,1,1,1,1,1,0
1378,1,1,1,1,1,0
1379,1,1,1,1,1,0
1380,1,1,1,0,1,0
1382,1,1,1,1,1,0
1383,1,1,1,1,1,0
1385,1,1,1,1,1,0
1386,1,1,1,1,1,0
1388,1,1,1,1,1,0
1389,1,1,1,1,1,0
1390,1,1,1,1,1,0
1391,1,1,1,1,1,0
1392,1,1,1,1,1,0
1394,1,1,1,1,1,0
1395,1,1,1,1,1,0
1396,1,1,1,1,1,0
1398,1,1,1,1,1,0
1399,1,1,1,1,1,0
1401,1,1,1,1,1,0
1402,1,1,1,1,1,0
1403,1,1,1,1,1,0
1404,1,1,1,1,1,0
1405,1,1,1,1,1,0
1406,1,1,1,1,1,0
1407,1,1,1,1,1,0
1408,1,1,1,1,1,0
1409,1,1,1,1,1,0
1410,1,1,1,1,1,0
1411,1,1,1,1,1,0
1412,1,1,1,1,1,0
1413,1,1,1,1,1,0
1414,1,1,1,1,1,0
1415,1,1,1,1,1,0
1416,1,1,1,1,1,0
1417,1,1,1,1,1,0
1418,1,1,1,1,1,0
1419,1,1,1,1,1,0
1420,1,1,1,1,1,0
1421,1,1,1,1,1,0
1422,1,1,1,1,1,0
1423,1,1,1,1,1,0
1424,1,1,1,1,1,0
1425,1,1,1,1,1,0
1426,1,1,1,1,1,0
1427,1,1,1,1,1,0
1428,1,1,1,1,1,0
1429,1,1,1,1,1,0
1430,1,1,1,0,1,0
1431,1,1,1,1,1,0
1432,1,1,1,1,1,0
1433,1,1,1,1,1,0
1435,1,1,1,1,1,0
1436,1,1,1,1,1,0
1437,1,1,1,1,1,0
1438,1,1,1,1,1,0
1443,1,1,1,1,1,0
1444,1,1,1,1,1,0
1445,1,1,1,1,1,0
1447,1,1,1,1,1,0
1448,1,1,1,1,1,0
